Timestamp,ExtPressure (kPa),IntPressure (kPa),Temp (C),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
7075,122.63,102.37,11.27,0.373,0.580,-0.753,-2.136,13.428,2.563
7154,123.11,102.37,11.26,0.197,0.631,-0.803,-10.620,12.390,18.127
7245,120.00,102.37,11.27,0.232,0.647,-0.738,-17.639,1.587,5.737
7324,121.43,102.37,11.27,0.273,0.505,-0.836,-1.587,13.062,-11.597
7403,120.24,102.37,11.27,0.306,0.518,-0.794,-2.686,7.080,7.874
7482,121.43,102.37,11.27,0.243,0.550,-0.802,2.136,7.385,-1.892
7561,123.11,102.37,11.27,0.228,0.505,-0.807,-4.761,9.338,5.127
7640,122.15,102.37,11.27,0.199,0.520,-0.794,5.859,0.183,2.136
7719,122.87,102.37,11.27,0.303,0.598,-0.857,-8.789,15.076,3.235
7798,122.87,102.37,11.27,0.206,0.547,-0.805,-2.258,20.447,17.151
7890,122.15,102.37,11.27,0.155,0.544,-0.877,-9.399,1.709,-20.020
7969,121.91,102.37,11.27,0.221,0.502,-0.803,22.705,-23.560,-3.845
8048,121.91,102.37,11.27,0.256,0.557,-0.784,0.122,-14.893,11.230
8127,123.34,102.37,11.27,0.248,0.554,-0.779,-17.517,3.113,1.343
8206,121.43,102.37,11.27,0.176,0.440,-0.804,-11.475,-1.038,17.517
8285,121.91,102.37,11.27,0.273,0.540,-0.773,-10.254,-25.574,51.453
8364,121.91,102.37,11.27,0.134,0.449,-0.830,-4.883,-8.911,35.889
8443,121.67,102.37,11.27,0.170,0.372,-0.825,1.465,2.319,3.479
8534,123.34,102.37,11.27,0.217,0.469,-0.836,-0.122,-18.433,29.602
8613,123.58,102.37,11.27,0.244,0.509,-0.848,-22.827,1.282,11.230
8692,123.58,102.37,11.27,0.180,0.505,-0.848,-9.155,5.188,2.625
8771,122.15,102.37,11.27,0.173,0.452,-0.859,0.183,9.399,5.676
8850,121.19,102.37,11.27,0.152,0.463,-0.841,11.719,3.235,-4.456
8929,121.67,102.36,11.27,0.206,0.476,-0.890,-8.972,2.869,5.920
9008,124.54,102.37,11.27,0.196,0.503,-0.847,-1.831,11.169,-0.610
9087,122.87,102.37,11.27,0.095,0.413,-0.900,-5.127,-11.841,15.503
9178,122.15,102.37,11.27,0.130,0.399,-0.938,-0.732,-14.404,16.785
9257,124.30,102.37,11.27,0.165,0.465,-0.877,1.282,-3.418,6.592
9336,122.87,102.36,11.27,0.257,0.465,-0.929,5.188,-12.939,26.733
9415,122.63,102.37,11.27,0.127,0.493,-0.853,3.479,0.977,-2.747
9494,121.19,102.37,11.27,0.153,0.505,-0.842,0.671,0.732,0.244
9574,124.54,102.37,11.27,0.219,0.488,-0.826,1.648,-0.427,4.944
9653,122.15,102.37,11.27,0.200,0.483,-0.840,16.113,-3.906,-0.854
9732,123.34,102.37,11.28,0.216,0.476,-0.848,2.014,0.549,5.432
9823,121.91,102.37,11.27,0.142,0.473,-0.874,13.245,5.798,4.272
9902,124.06,102.37,11.27,0.174,0.512,-0.837,0.427,0.671,2.014
9981,123.58,102.37,11.27,0.232,0.589,-0.688,-8.606,-22.888,22.156
10060,123.58,102.37,11.27,0.229,0.462,-0.859,6.165,8.240,-7.080
10139,124.54,102.37,11.27,0.172,0.518,-0.828,3.601,-2.197,10.803
10218,123.34,102.37,11.27,0.281,0.743,-0.639,-3.296,-10.925,30.701
10297,122.87,102.37,11.28,0.167,0.536,-0.861,-5.981,-0.427,-2.380
10376,122.63,102.37,11.28,0.230,0.487,-0.869,-9.644,-6.104,12.878
10467,123.11,102.36,11.28,0.140,0.512,-0.883,9.705,2.869,0.122
10546,124.30,102.36,11.28,0.207,0.470,-0.804,10.620,2.441,-17.639
10625,125.26,102.37,11.28,0.165,0.505,-0.839,0.427,6.592,-16.968
10704,124.30,102.37,11.28,0.186,0.490,-0.862,-4.089,-1.038,8.545
10783,122.87,102.37,11.28,0.094,0.498,-0.877,-8.362,-4.089,50.903
10862,121.91,102.38,11.28,0.239,0.499,-0.845,11.353,-1.831,-8.118
10941,123.11,102.37,11.28,0.201,0.492,-0.854,1.465,7.141,-1.709
11033,124.06,102.37,11.28,0.161,0.517,-0.847,-10.376,-3.296,16.907
11112,124.06,102.37,11.28,0.110,0.486,-0.882,0.671,7.141,1.038
11191,124.06,102.36,11.28,0.216,0.490,-0.827,13.550,-5.310,-12.451
11270,124.78,102.37,11.28,0.116,0.481,-0.877,-3.235,2.869,12.878
11349,123.58,102.37,11.28,0.238,0.491,-0.833,4.761,6.287,-6.531
11428,122.63,102.36,11.28,0.160,0.506,-0.843,3.601,-1.038,-9.155
11507,124.06,102.35,11.28,0.228,0.480,-0.839,8.240,-7.874,-11.536
11586,124.06,102.37,11.28,0.181,0.498,-0.839,-0.549,-1.953,9.216
11677,123.34,102.37,11.28,0.290,0.474,-0.820,2.136,2.441,9.521
11756,123.11,102.39,11.28,0.093,0.508,-0.860,0.793,7.751,8.545
11835,123.58,102.37,11.28,0.282,0.521,-0.830,7.812,-3.784,-12.268
11914,124.06,102.37,11.28,0.238,0.533,-0.808,2.136,10.925,-0.305
11993,124.54,102.37,11.28,0.176,0.517,-0.830,-6.958,-0.671,6.653
12072,124.54,102.37,11.28,0.176,0.498,-0.851,5.005,2.258,-4.578
12151,124.06,102.36,11.28,0.271,0.524,-0.834,8.911,-5.371,-14.893
12230,123.82,102.37,11.28,0.284,0.511,-0.809,-4.822,3.784,4.333
12321,125.02,102.37,11.28,0.173,0.472,-0.852,6.409,6.531,-11.597
12400,123.58,102.37,11.29,0.235,0.518,-0.820,6.104,-3.723,1.831
12479,124.06,102.37,11.29,0.251,0.495,-0.814,4.883,0.977,4.822
12558,124.06,102.37,11.29,0.264,0.517,-0.804,4.517,6.897,8.545
12637,121.91,102.37,11.28,0.214,0.506,-0.833,-4.028,0.916,9.338
12716,122.63,102.38,11.28,0.244,0.494,-0.898,-9.705,-14.587,26.917
12795,123.82,102.37,11.28,0.189,0.579,-0.826,26.367,24.658,-30.212
12874,124.78,102.33,11.28,0.295,0.473,-0.814,12.085,-6.042,-23.621
12966,123.58,102.37,11.29,0.340,0.581,-0.799,-1.587,1.038,1.892
13045,121.91,102.38,11.29,0.280,0.521,-0.824,1.953,0.122,-9.766
13124,123.11,102.37,11.29,0.213,0.558,-0.815,4.150,-1.587,6.958
13203,121.19,102.37,11.29,0.258,0.566,-0.806,-6.836,-7.507,29.358
13282,122.87,102.37,11.29,0.242,0.527,-0.801,2.014,8.118,-3.723
13361,123.58,102.39,11.29,0.239,0.547,-0.813,6.592,10.193,0.488
13440,124.06,102.39,11.29,0.185,0.545,-0.812,-2.563,10.498,18.982
13531,122.63,102.39,11.28,0.215,0.537,-0.813,-16.785,-13.123,18.982
13610,124.54,102.37,11.29,0.200,0.531,-0.820,-0.549,5.127,9.033
13689,125.02,102.37,11.29,0.196,0.541,-0.824,19.470,-2.197,-6.348
13768,124.54,102.37,11.29,0.258,0.546,-0.779,13.245,0.061,-2.930
